,original_session_id_hash,session_id_hash,is_purchased-last,product_url_id_list-0,product_url_id_list-1,product_url_id_list-2,product_url_id_list-3,product_url_id_list-4,event_type_list-0,event_type_list-1,event_type_list-2,event_type_list-3,event_type_list-4,product_action_list-0,product_action_list-1,product_action_list-2,product_action_list-3,product_action_list-4,category_list-0,category_list-1,category_list-2,category_list-3,category_list-4,price_list-0,price_list-1,price_list-2,price_list-3,price_list-4,relative_price_list-0,relative_price_list-1,relative_price_list-2,relative_price_list-3,relative_price_list-4,add_product_id,add_nb_interactions,add_has_been_detailed,add_has_been_removed,add_has_been_searched,add_has_been_clicked,add_category_hash,add_price,add_relative_price,session_length,nb_unique_interactions,nb_queries
0,6090fea34744108a2b21f6bbf79b19908844bf5d1eeaf21e82e868b5cb5fe480,3425,0,21253,117869.0,61483.0,21502.0,33530.0,1,1.0,1.0,2.0,1.0,1,1.0,1.0,2.0,1.0,0,0.0,0.0,23.0,0.0,0,0.0,0.0,4.0,0.0,0.001144321635365486,0.001144321635365486,0.001144321635365486,0.319285124540329,0.001144321635365486,5627,2,1,0,0,1,25,3,2.645113229751587,17,13,1.0
1,611b14b39be38f198d192ac78dbdba701cf7c510f9d2d9839017f6cff5b1bda9,3426,0,30333,7491.0,20568.0,30015.0,19705.0,1,2.0,2.0,1.0,2.0,1,2.0,2.0,1.0,2.0,0,10.0,10.0,0.0,10.0,0,2.0,2.0,0.0,2.0,0.001144321635365486,-0.15017811954021454,-0.15017811954021454,0.001144321635365486,-0.15017811954021454,10328,3,1,0,0,1,10,3,-0.15017811954021454,113,61,2.0
2,68944ef7241850ea6dac70bed34d17513b04689447218f7a6035270154ebd0e2,3427,0,1173,7750.0,10736.0,1684.0,1684.0,2,1.0,1.0,2.0,2.0,2,1.0,1.0,2.0,2.0,1,0.0,0.0,1.0,1.0,2,0.0,0.0,2.0,2.0,0.001144321635365486,0.001144321635365486,0.001144321635365486,0.001144321635365486,0.001144321635365486,127,8,1,0,0,1,1,2,0.001144321635365486,113,49,9.0
3,68ebf2d4753c8f2f15647e8bbbf3d76e6e97666d841f3b2295107f2c5075b9a1,3428,1,1809,14186.0,1554.0,1809.0,8.0,2,1.0,1.0,2.0,1.0,2,1.0,1.0,2.0,1.0,34,0.0,0.0,34.0,0.0,5,0.0,0.0,5.0,0.0,0.2457447946071625,0.001144321635365486,0.001144321635365486,0.2457447946071625,0.001144321635365486,2026,3,1,0,0,1,34,6,0.2457447946071625,21,14,1.0
4,6ae2fccdc7451805c45339a7aeb003ef8fcabe3d23b907d896b4d25a74e9eb03,3429,1,77,2.0,3.0,21.0,119.0,1,1.0,1.0,1.0,2.0,1,1.0,1.0,1.0,6.0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,5.0,0.001144321635365486,0.001144321635365486,0.001144321635365486,0.001144321635365486,0.001144321635365486,119,5,1,0,0,1,1,5,0.001144321635365486,113,51,0.0
5,6bc75a7017a4c9e54ddbac6e3c0fa9f75c9c224bae1571ef21ae4a7122a209f5,3430,1,1444,3864.0,13955.0,1444.0,2.0,2,2.0,1.0,2.0,1.0,3,2.0,1.0,2.0,1.0,1,1.0,0.0,1.0,0.0,6,6.0,0.0,6.0,0.0,0.001144321635365486,0.001144321635365486,0.001144321635365486,0.001144321635365486,0.001144321635365486,1680,2,1,0,0,1,1,5,0.001144321635365486,24,18,3.0
6,6c68119b63f4063cfa725fc27de99fc50ebce31d1e2b63f6013ae83c422433a0,3431,0,5186,1318.0,1318.0,15470.0,55278.0,1,1.0,1.0,2.0,1.0,1,1.0,1.0,2.0,1.0,0,0.0,0.0,24.0,0.0,0,0.0,0.0,10.0,0.0,0.001144321635365486,0.001144321635365486,0.001144321635365486,-3.729946613311768,0.001144321635365486,13488,2,1,0,0,1,6,7,-3.0622828006744385,113,76,0.0
7,6dcfbd57a85972889a3857dfac00f6b212304ae8da80668cdb8815ff43e2b40e,3432,0,18864,6.0,1081.0,7158.0,261.0,1,1.0,1.0,1.0,2.0,1,1.0,1.0,1.0,2.0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,5.0,0.001144321635365486,0.001144321635365486,0.001144321635365486,0.001144321635365486,0.001144321635365486,1856,2,1,0,0,1,1,6,0.001144321635365486,52,29,1.0
8,747274159cc1622a985a549958469955d139b09cbbeef29d1b42f4522ecbc11c,3433,0,1833,13743.0,1188.0,9.0,1188.0,2,1.0,2.0,2.0,2.0,2,1.0,2.0,4.0,3.0,16,0.0,16.0,0.0,16.0,3,0.0,3.0,0.0,3.0,3.004459857940674,0.001144321635365486,3.004459857940674,0.001144321635365486,3.004459857940674,630,2,1,0,0,1,16,3,3.004459857940674,22,14,0.0
9,78d6e88f429ef27bd7fce587defb4a76289ca28e492a6d6a96c5c1da59d0a935,3434,1,2,6.0,2.0,3.0,1640.0,1,1.0,1.0,1.0,2.0,1,1.0,1.0,1.0,6.0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0.001144321635365486,0.001144321635365486,0.001144321635365486,0.001144321635365486,0.001144321635365486,1640,8,1,0,0,1,1,1,0.001144321635365486,113,37,1.0
